INFO 2025-05-17 13:30:34,826 autoreload 27984 11464 Watching for file changes with StatReloader
DEBUG 2025-05-17 13:30:34,826 autoreload 27984 11464 Waiting for apps ready_event.
DEBUG 2025-05-17 13:30:34,835 autoreload 27984 11464 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-05-17 13:30:34,850 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\class_management\templates with glob **/*.
DEBUG 2025-05-17 13:30:34,850 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\templates with glob **/*.
DEBUG 2025-05-17 13:30:34,850 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\class_performance\templates with glob **/*.
DEBUG 2025-05-17 13:30:34,851 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\app01\templates with glob **/*.
DEBUG 2025-05-17 13:30:34,851 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\class_interaction\templates with glob **/*.
DEBUG 2025-05-17 13:30:34,851 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\authentication\templates with glob **/*.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\locale with glob **/*.mo.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\assignment_difficulty\locale with glob **/*.mo.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\lesson_plan_generator\locale with glob **/*.mo.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\class_performance\locale with glob **/*.mo.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\class_management\locale with glob **/*.mo.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\task_assignment\locale with glob **/*.mo.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\resource_library\locale with glob **/*.mo.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\class_interaction\locale with glob **/*.mo.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\learning_path_recommendation\locale with glob **/*.mo.
DEBUG 2025-05-17 13:30:34,852 autoreload 27984 11464 Watching dir C:\Users\CSD\PycharmProjects\deepstudent2\mistake_diagnosis\locale with glob **/*.mo.
